ticker,feature,max_repeat_run,max_repeat_span_days
,nz_labor_labor_force_age15_plus_male,0,0.0
,nz_labor_labor_force_age15_plus_total,0,0.0
,nz_labor_labor_force_age15to24_male,0,0.0
,nz_labor_labor_force_age15to64_female,1,0.0
,nz_labor_labor_force_age15to64_male,1,0.0
,nz_labor_labor_force_age15to64_total,1,0.0
,nz_labor_lfparticipation_gap_age15_plus_male,0,0.0
,nz_labor_lfparticipation_gap_age15to64_male,1,0.0
,nz_labor_lfparticipation_rate_age15_plus_female,0,0.0
,nz_labor_lfparticipation_rate_age15_plus_male,0,0.0
,nz_labor_lfparticipation_rate_age15_plus_total,0,0.0
,nz_labor_lfparticipation_rate_age15to64_female,1,0.0
,nz_labor_lfparticipation_rate_age15to64_male,1,0.0
,nz_labor_lfparticipation_rate_age15to64_total,1,0.0
,nz_labor_population_age15_plus_female,0,0.0
,nz_labor_population_age15_plus_male,0,0.0
,nz_labor_population_age15_plus_total,0,0.0
,nz_labor_population_age15to24_female,0,0.0
,nz_labor_population_age15to24_male,0,0.0
,nz_labor_population_age15to24_total,0,0.0
,nz_labor_population_age15to64_female,0,0.0
,nz_labor_population_age15to64_male,0,0.0
,nz_labor_population_age15to64_total,0,0.0
,nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_basic_tax_credit_national_currency_single_person_2_children_67%_of_average_wage,17,5844.0
,nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_100%_of_average_wage,15,5113.0
